mouse_speed_mean,mouse_direction_changes,click_interval_mean,typing_latency,scroll_variance,session_duration,request_rate,cpu_threads,device_memory,label
0.41657438583436956,43,1397.6644522700483,290.73606993645683,2035.297492781188,88.48981156931113,0.3285859502737576,8,8,1
0.4391100594703475,27,1409.9865664083459,156.43831471351524,1370.157038931767,207.93892613529323,0.4322671098540393,4,8,1
0.5646662998267216,33,1089.9111524629309,286.3207874732647,2732.8272010097457,81.86641558352164,0.19353434159732064,8,4,1
0.020702398528001355,3,38.093618054639904,7.801020317667162,65.60523352119355,3.5879623773573783,116.80638591527865,2,2,0
0.0715861880342119,5,87.54536750691409,4.898111532087531,68.45327692864792,8.291679640361531,115.92306255668166,1,2,0
0.04317537059112638,1,115.86538156443243,9.10551371530027,33.119901842705204,5.1478290798571535,32.353028601615264,1,1,0
0.5305893536322975,21,1021.5291527520453,285.1409080539771,3042.213927738673,161.90641555265768,0.5520806190994414,8,16,1
0.03595605393105627,0,8.563443684036812,4.664734825734933,39.02199864320964,11.214486496732897,81.94353449229737,1,1,0
0.5933963230057161,32,1426.4884619279449,327.66255965261786,2471.339168712039,213.87861934884037,0.01,4,4,1
0.6486283005250268,22,1664.8720660687973,283.24727434380895,2515.2002648497196,87.93501277958968,0.05148383875569923,8,4,1
0.45298076765281753,33,1620.390741195726,243.0125776761779,2076.191836986369,150.79604598680137,0.5291232648044121,12,16,1
0.6662373988639467,36,1171.2609965535335,309.16135340976894,2266.437863339504,20.0,0.6036553831666299,6,4,1
0.5306457146000789,44,1960.1650654236855,232.22044689822872,2706.0403125782113,115.53324505402996,0.01,6,4,1
0.546818334946094,32,1301.378056550991,253.4427869603469,2292.7770842088876,85.51744754319603,0.37355053389803494,8,32,1
0.6871387377418026,49,1576.8611814650665,156.34287816436827,3622.235448748879,35.88893623246315,0.6760571281400811,4,16,1
0.8128546750971974,60,1605.7562954723826,220.6401042018096,2207.5685625339656,158.94520395774637,0.133137938997408,4,8,1
0.4560096049196516,36,1584.7310260793845,133.83949784962311,2681.9679476833035,198.4285652569457,0.01775502963163178,4,16,1
0.050648116581861434,0,34.18569095846964,10.505367449591569,101.59933706859671,12.988540086293295,57.473353347829956,1,2,0
0.0748507995376758,3,107.92794843472242,9.09643589489385,1.1036461939955577,2.4206016001244492,84.66768575634586,1,2,0
0.5721560630238766,62,1465.8415223191257,136.60875519581458,3025.2428869070636,61.51909978636071,0.7361253811227356,6,8,1
0.6009383492867741,51,996.3256185072189,230.21032966998166,1404.1031546269628,73.69315503040448,0.7636020644572687,8,16,1
0.5212486590167429,36,2252.0592083063666,263.79671434355043,1814.273954866974,55.746450116333264,0.6447417245729556,12,32,1
0.029612696020435553,0,114.41554979585042,4.961254570057705,66.33179602025879,9.012094568391737,117.9348162901848,2,1,0
0.4768751948938704,30,488.67611313425994,201.23871537099893,3377.063831632871,99.87533855574962,0.6905337652705937,6,8,1
0.42037589559514177,50,1142.7434648664762,249.30476284208214,1917.456600509333,20.0,0.6403151232494351,8,8,1
0.40800812542546977,45,1242.141634906253,171.89773772672427,2554.681000883063,95.43547016570653,1.066864296837975,6,4,1
